N	34	1134.9803	0.0416
N	34	1134.4149	0.0278
HeII	256.317	0.079	189700000
HeII	303.7822	0.416	627000000
HeI	515.6165	0.0154	200000000
HeI	522.2128	0.0307	200000000
HeI	537.0296	0.0752	200000000
HeI	584.334	0.285	200000000
MgX	609.79	0.0842	200000000
MgX	624.95	0.041	200000000
OIII	702.332	0.137	200000000
NeVIII	770.409	0.103	100000000
NeVIII	780.324	0.0505	100000000
OIV	787.711	0.11	200000000
OII	832.7572	0.0444	200000000
OIII	832.927	0.107	200000000
OII	833.3294	0.0886	200000000
OII	834.4655	0.132	200000000
HI	911.7633	6.3E-18	1
HI	912.645	4.8E-05	127700
HI	912.703	5.3E-05	140500
HI	912.768	5.8E-05	155000
HI	912.839	6.4E-05	171600
HI	912.918	7.1E-05	190700
HI	913.006	8E-05	212700
HI	913.104	8.9E-05	238200
HI	913.215	0.000101	267900
HI	913.339	0.000114	303000
HI	913.48	0.000129	344300
HI	913.641	0.000148	393300
HI	913.826	0.00017	452300
PIII	913.9683	0.203	4790000000
HI	914.039	0.000197	523700
HI	914.286	0.00023	610900
HI	914.576	0.00027	718600
HI	914.919	0.000321	853300
DI	915.08	0.000386	1025000
HI	915.329	0.000386	1024000
DI	915.575	0.000469	1244000
NII	915.6131	0.159	1270000000
HI	915.824	0.000469	1243000
DI	916.179	0.000577	1531000
HI	916.429	0.000577	1529000
OI	916.815	0.000474	10000000
DI	916.931	0.000723	1913000
OI	916.96	0.000101	1330000
PIII	917.1178	0.404	4780000000
HI	917.1806	0.0007226	1911000
DI	917.879	0.000921	2434000
OI	918.044	0.000614	10000000
HI	918.1294	0.000921	2432000
DI	919.102	0.001201	3162000
OI	919.222	0.000132	1740000
HI	919.3514	0.0012	3160000
OI	919.658	0.000792	10000000
OI	919.917	0.000177	2330000
DI	920.712	0.001605	4214000
HI	920.9631	0.001605	4210000
OI	921.857	0.00108	10000000
OI	922.2	0.000245	3210000
DI	922.899	0.002216	5789000
HI	923.1504	0.002216	5785000
OI	924.95	0.00154	10000000
OI	925.446	0.000354	4600000
DI	925.9737	0.003184	8261000
HI	926.2257	0.003183	8255000
OI	929.5168	0.00229	10000000
OI	930.2566	0.000537	6900000
DI	930.4951	0.004817	12370000
HI	930.7483	0.004814	12360000
OI	936.6295	0.00365	17040000
DI	937.5484	0.007808	24500000
HI	937.8035	0.007799	24500000
OI	937.8405	0.000877	11020000
OI	948.6855	0.00631	29000000
DI	949.4847	0.01395	42040000
HI	949.7431	0.01394	42040000
PIV	950.6569	1.49	3670000000
OI	950.8846	0.00158	38760000
FI	951.8707	0.0165	716000000
NI	953.4152	0.0129	219000000
NI	953.6549	0.0247	210000000
NI	953.9699	0.0331	203000000
NI	954.1042	0.004	141000000
FI	954.8267	0.0817	714000000
PII	961.0412	0.3489	5090000000
PII	963.8005	1.458	4140000000
NI	963.9903	0.0124	85500000
NI	964.6256	0.0079	83100000
NI	965.0413	0.00386	81600000
OI	971.7371	0.000138	1630000
OI	971.7376	0.00207	14600000
OI	971.7382	0.0116	85800000
DI	972.2722	0.02901	81270000
HI	972.5368	0.029	81270000
OI	976.4481	0.00331	80100000
CIII	977.0201	0.757	1760000000
OI	988.5778	0.000553	6290000
OI	988.6549	0.0083	56600000
OI	988.7734	0.0465	226000000
NIII	989.799	0.123	500000000
SiII	989.8731	0.171	667300000
PIII	997.9996	0.1117	2220000000
SIII	1012.495	0.0438	281000000
SeII	1013.434	0.263	1140000000
SiII	1020.6989	0.0168	668000000
DI	1025.4433	0.0791	189700000
HI	1025.7223	0.07912	189700000
OI	1025.7616	0.0163	102000000
MgII	1025.9681	0.000743	2350000
MgII	1026.1134	0.000392	2480000
OI	1026.4757	8.71E-08	45800000
SeII	1033.556	0.165	1030000000
BeII	1036.299	0.05538	184600000
BeII	1036.319	0.02769	184600000
CII	1036.3367	0.118	2200000000
CII*	1037.0182	0.118	2200000000
OI	1039.2304	0.00907	187000000
ArI	1048.2199	0.263	31800000
SeII	1049.648	0.0823	996000000
FeII	1055.2617	0.00615	46100000
FeII	1062.1517	0.00291	17200000
SIV	1062.664	0.0494	169000000
Fe63	1063.1764	0.0547	323000000
FeII	1063.9718	0.00475	35000000
ArI	1066.6598	0.0675	132000000
FeII	1081.8748	0.0126	200000000
FeII	1083.4204	0.0028	200000000
NII	1083.9937	0.111	374000000
Fe96	1096.8769	0.0327	226000000
VII	1104.332	0.00356	6500000
